,date,loser,p1,p2,return_points_played_loser,return_points_played_winner,return_points_won_loser,return_points_won_winner,round,rpw_loser,rpw_winner,score,serve_points_played_loser,serve_points_played_winner,serve_points_won_loser,serve_points_won_winner,spw_loser,spw_winner,surface,tournament_name,ues_loser,ues_winner,winner,winners_loser,winners_winner
26,2017-01-03 22:30:00,Mathieu P.,Melzer G.,Mathieu P.,,,,,last_32,,,6-7 6-3 6-2,,,,,,,hard,Doha,,,Melzer G.,,
27,2017-01-03 22:30:00,Shannan Zayid M.,Khachanov K.,Shannan Zayid M.,38.0,62.0,6.0,31.0,last_32,0.15789473684210525,0.5,6-1 6-3,62.0,38.0,31.0,32.0,0.5,0.8421052631578947,hard,Doha,,,Khachanov K.,,
28,2017-01-03 23:50:00,Kuznetsov An.,Tsonga J.,Kuznetsov An.,67.0,66.0,16.0,27.0,last_32,0.23880597014925373,0.4090909090909091,6-1 4-6 6-2,66.0,67.0,39.0,51.0,0.5909090909090909,0.7611940298507462,hard,Doha,,,Tsonga J.,,
29,2017-01-04 00:30:00,Marchenko I.,Karlovic I.,Marchenko I.,,,,,last_32,,,7-6(5) 7-6(0),,,,,,,hard,Doha,,,Karlovic I.,,
30,2017-01-04 01:50:00,Chardy J.,Murray A.,Chardy J.,55.0,66.0,13.0,33.0,last_32,0.23636363636363636,0.5,6-0 7-6(2),66.0,55.0,33.0,42.0,0.5,0.7636363636363637,hard,Doha,,,Murray A.,,
31,2017-01-04 03:30:00,Giannessi A.,Berdych T.,Giannessi A.,54.0,71.0,10.0,27.0,last_32,0.18518518518518517,0.38028169014084506,7-6(1) 6-2,71.0,54.0,44.0,44.0,0.6197183098591549,0.8148148148148148,hard,Doha,,,Berdych T.,,
32,2017-01-05 22:30:00,Karlovic I.,Verdasco F.,Karlovic I.,58.0,67.0,17.0,28.0,QF,0.29310344827586204,0.417910447761194,6-2 7-5,67.0,58.0,39.0,41.0,0.582089552238806,0.7068965517241379,hard,Doha,,,Verdasco F.,,
33,2017-01-06 00:25:00,Stepanek R.,Djokovic N.,Stepanek R.,56.0,61.0,18.0,30.0,QF,0.32142857142857145,0.4918032786885246,6-3 6-3,61.0,56.0,31.0,38.0,0.5081967213114754,0.6785714285714286,hard,Doha,,,Djokovic N.,,
34,2017-01-06 02:20:00,Almagro N.,Murray A.,Almagro N.,79.0,89.0,28.0,38.0,QF,0.35443037974683544,0.42696629213483145,7-6(4) 7-5,89.0,79.0,51.0,51.0,0.5730337078651685,0.6455696202531646,hard,Doha,,,Murray A.,,
35,2017-01-06 04:55:00,Tsonga J.,Berdych T.,Tsonga J.,85.0,52.0,27.0,16.0,QF,0.3176470588235294,0.3076923076923077,7-5 6-3,52.0,85.0,36.0,58.0,0.6923076923076923,0.6823529411764706,hard,Doha,,,Berdych T.,,
36,2017-01-06 11:00:00,Edmund K.,Wawrinka S.,Edmund K.,119.0,97.0,44.0,34.0,QF,0.3697478991596639,0.35051546391752575,6-7(2) 6-4 6-4,97.0,119.0,63.0,75.0,0.6494845360824743,0.6302521008403361,hard,Brisbane,,,Wawrinka S.,,
37,2017-01-06 14:00:00,Thompson J.,Nishikori K.,Thompson J.,34.0,47.0,6.0,27.0,QF,0.17647058823529413,0.574468085106383,6-1 6-1,47.0,34.0,20.0,28.0,0.425531914893617,0.8235294117647058,hard,Brisbane,,,Nishikori K.,,
38,2017-01-06 16:30:00,Thiem D.,Dimitrov G.,Thiem D.,94.0,82.0,29.0,29.0,QF,0.30851063829787234,0.35365853658536583,6-3 4-6 6-3,82.0,94.0,53.0,65.0,0.6463414634146342,0.6914893617021277,hard,Brisbane,,,Dimitrov G.,,
39,2017-01-06 19:00:00,Nadal R.,Raonic M.,Nadal R.,97.0,84.0,31.0,31.0,QF,0.31958762886597936,0.36904761904761907,4-6 6-3 6-4,84.0,97.0,53.0,66.0,0.6309523809523809,0.6804123711340206,hard,Brisbane,,,Raonic M.,,
40,2017-01-07 00:00:00,Verdasco F.,Djokovic N.,Verdasco F.,93.0,101.0,33.0,41.0,SF,0.3548387096774194,0.40594059405940597,4-6 7-6(7) 6-3,101.0,93.0,60.0,60.0,0.594059405940594,0.6451612903225806,hard,Doha,,,Djokovic N.,,
41,2017-01-07 02:50:00,Berdych T.,Murray A.,Berdych T.,67.0,63.0,23.0,28.0,SF,0.34328358208955223,0.4444444444444444,6-3 6-4,63.0,67.0,35.0,44.0,0.5555555555555556,0.6567164179104478,hard,Doha,,,Murray A.,,
42,2017-01-07 13:00:00,Wawrinka S.,Nishikori K.,Wawrinka S.,77.0,59.0,26.0,23.0,SF,0.33766233766233766,0.3898305084745763,7-6(3) 6-3,59.0,77.0,36.0,51.0,0.6101694915254238,0.6623376623376623,hard,Brisbane,,,Nishikori K.,,
43,2017-01-07 14:55:00,Raonic M.,Dimitrov G.,Raonic M.,58.0,61.0,13.0,21.0,SF,0.22413793103448276,0.3442622950819672,7-6(7) 6-2,61.0,58.0,40.0,45.0,0.6557377049180327,0.7758620689655172,hard,Brisbane,,,Dimitrov G.,,
44,2017-01-08 01:00:00,Murray A.,Djokovic N.,Murray A.,110.0,84.0,37.0,29.0,F,0.33636363636363636,0.34523809523809523,6-3 5-7 6-4,84.0,110.0,55.0,73.0,0.6547619047619048,0.6636363636363637,hard,Doha,,,Djokovic N.,,
45,2017-01-08 09:00:00,Diez S.,Klein B.,Diez S.,,,,,qualifying,,,3-6 6-4 6-4,,,,,,,hard,Heineken Open,,,Klein B.,,
